,,Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Source,Notes
Variable,Measure,Country,,,,,,,,,,,,,,,,,,,,,,,,
Total Population,Persons,Australia ," 19,141,000 "," 19,386,500 "," 196,054,000 "," 19,827,200 "," 20,046,000 "," 20,311,500 "," 20,627,500 "," 21,016,100 "," 21,475,600 "," 21,865,600 "," 22,172,500 "," 22,522,200 "," 22,928,000 "," 23,297,800 "," 23,640,300 "," 23,984,600 "," 24,385,900 "," 24,761,400 "," 25,150,500 "," 25,526,800 "," 25,638,700 "," 25,766,600 ",Australian Bureau of Statistics ,"3101.0 National, state and territory population
TABLE 59. Estimated Resident Population By Single Year Of Age, Australia"
,,Brazil,,,,,,,,,,," 194,890,682 "," 196,603,732 "," 198,314,934 "," 200,004,188 "," 201,717,541 "," 203,475,683 "," 205,156,587 "," 206,804,741 "," 208,494,900 "," 210,147,125 "," 211,755,692 "," 213,317,639 ",Brazil ,Popualtion projection; BGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica. 
,,Canada," 30,685,730 "," 31,020,902 "," 31,360,079 "," 31,644,028 "," 31,940,655 "," 32,243,753 "," 32,571,174 "," 32,889,025 "," 33,247,118 "," 33,628,895 "," 34,004,889 "," 34,339,328 "," 34,714,222 "," 35,082,954 "," 35,437,435 "," 35,702,908 "," 36,109,487 "," 36,545,236 "," 37,065,084 "," 37,601,230 "," 38,037,204 "," 38,246,108 ",Canada,Population on July 1 
,,France," 60,724,780 "," 61,163,240 "," 61,604,550 "," 62,037,546 "," 62,490,800 "," 62,958,327 "," 63,393,404 "," 63,781,275 "," 64,133,180 "," 64,458,720 "," 64,773,170 "," 65,087,321 "," 65,402,999 "," 65,735,871 "," 66,276,671 "," 66,512,557 "," 66,688,564 "," 66,883,321 "," 67,125,071 "," 67,356,052 "," 67,540,259 "," 67,719,896 ",France,Average population of the year; 2019-2021 provisional figures
,,Germany," 82,259,540 "," 82,440,309 "," 82,536,680 "," 82,531,671 "," 82,500,849 "," 82,437,995 "," 82,314,906 "," 82,217,837 "," 82,002,356 "," 81,802,257 "," 81,751,602 "," 80,327,900 "," 80,523,746 "," 80,767,463 "," 81,197,537 "," 82,175,684 "," 82,521,653 "," 82,792,351 "," 83,019,213 "," 83,166,711 "," 83,155,031 "," 83,237,124 ",Germany,"Population: Germany, reference date, age; explanation for population decline"
,,Italy," 56,942,108 "," 56,974,100 "," 57,059,007 "," 57,313,203 "," 57,685,327 "," 57,969,484 "," 58,143,979 "," 58,438,310 "," 58,826,731 "," 59,095,365 "," 59,277,417 "," 59,379,449 "," 59,539,717 "," 60,233,948 "," 60,789,140 ",,,,,,,,Italy,Resident population at the 1st of January and average by region and geographical area - Years 1952-2014
,,Japan," 126,926,000 "," 127,291,000 "," 127,435,000 "," 127,619,000 "," 127,687,000 "," 127,768,000 "," 127,770,000 "," 127,771,000 "," 127,692,000 "," 127,510,000 "," 128,057,000 "," 127,799,000 "," 127,515,000 "," 127,298,000 "," 127,083,000 "," 127,095,000 ",,,,,,,Japan,"Population by Age (Five-Year Groups and 3 Groups) and Sex (as of October 1 of Each Year) - Total population,Japanese population (from 2000 to 2015)"
,,South Korea,"47,732,558","48,021,543","48,229,948","48,386,823","48,583,805","48,782,274","48,991,779","49,268,928","49,540,367","49,773,145","50,515,666","50,734,284","50,948,272","51,141,463","51,327,916","51,529,338","51,696,216","51,778,544","51,826,059","51,849,861","51,829,023","51,638,809",Korea,
,,Spain,"40,554,387","40,766,049","41,423,520","42,196,231","42,859,172","43,662,613","44,360,521","45,236,004","45,983,169","46,367,550","46,562,483","46,736,257","46,766,403","46,593,236","46,455,123","46,410,149","46,449,874","46,532,869","46,728,814","47,105,358","47,355,685","47,331,545",Spain,"Resident population by date, sex and age"
,,Sweden ," 8,882,792 "," 8,909,128 "," 8,940,788 "," 8,975,670 "," 9,011,392 "," 9,047,752 "," 9,113,257 "," 9,182,927 "," 9,256,347 "," 9,340,682 "," 9,415,570 "," 9,482,855 "," 9,555,893 "," 9,644,864 "," 9,747,355 "," 9,851,017 "," 9,995,153 "," 10,120,242 "," 10,230,185 "," 10,230,185 "," 10,379,295 "," 10,452,326 ",Sweden,Population statistics 1998-2021
,,Taiwan," 22,276,672 "," 22,405,568 "," 22,520,776 "," 22,604,550 "," 22,689,122 "," 22,770,383 "," 22,876,527 "," 22,958,360 "," 23,037,031 "," 23,119,772 "," 23,162,123 "," 23,224,912 "," 23,315,822 "," 23,373,517 "," 23,433,753 "," 23,492,074 "," 23,539,816 "," 23,571,227 "," 23,588,932 "," 23,603,121 "," 23,561,236 "," 23,375,314 ",Taiwan,National Development Council 
